This tab has one table with the estimated resident population and components for Statistical Areas Level 2 in South Australia for 2023-24. It ranges from cell A1 to Q183.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australian Bureau of Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 4. Estimated resident population and components, Statistical Areas Level 2, South Australia",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Regional population, 2023-24",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,ERP at 30 June,,ERP change,,Components of population change 2023-24,,,,,,,,,,,,,,,,
,,,,,,,,2023,2024,2023-24,,Natural increase,Net internal migration,Net overseas migration,Area,Population density 2024,,,,,,,,,,,,
GCCSA code,GCCSA name,SA4 code,SA4 name,SA3 code,SA3 name,SA2 code,SA2 name,no.,no.,no.,%,no.,no.,no.,km2,persons/km2,,,,,,,,,,,,
4RSAU,Rest of SA,405,Barossa - Yorke - Mid North,40501,Barossa,405011115,Tanunda,4768,4743,-25,-0.5,-21,-25,21,17.3,273.6,,,,,,,,,,,,
4RSAU,Rest of SA,405,Barossa - Yorke - Mid North,40502,Lower North,405021116,Clare,4206,4173,-33,-0.8,-9,-41,17,74.2,56.2,,,,,,,,,,,,
4RSAU,Rest of SA,405,Barossa - Yorke - Mid North,40502,Lower North,405021117,Gilbert Valley,5129,5168,39,0.8,4,20,15,1675.4,3.1,,,,,,,,,,,,
4RSAU,Rest of SA,405,Barossa - Yorke - Mid North,40502,Lower North,405021118,Goyder,4141,4147,6,0.1,-16,17,5,6748.2,0.6,,,,,,,,,,,,
4RSAU,Rest of SA,405,Barossa - Yorke - Mid North,40502,Lower North,405021119,Wakefield - Barunga West,9733,9756,23,0.2,-49,49,23,5231.2,1.9,,,,,,,,,,,,
4RSAU,Rest of SA,405,Barossa - Yorke - Mid North,40503,Mid North,405031120,Jamestown,4705,4703,-2,0,-5,3,0,3107,1.5,,,,,,,,,,,,
4RSAU,Rest of SA,405,Barossa - Yorke - Mid North,40503,Mid North,405031121,Peterborough - Mount Remarkable,5431,5409,-22,-0.4,-19,-10,7,9643.9,0.6,,,,,,,,,,,,
4RSAU,Rest of SA,405,Barossa - Yorke - Mid North,40503,Mid North,405031122,Port Pirie,14171,14181,10,0.1,-5,-25,40,75.3,188.3,,,,,,,,,,,,
4RSAU,Rest of SA,405,Barossa - Yorke - Mid North,40503,Mid North,405031123,Port Pirie Surrounds,3387,3412,25,0.7,-16,41,0,1583.3,2.2,,,,,,,,,,,,
4RSAU,Rest of SA,405,Barossa - Yorke - Mid North,40504,Yorke Peninsula,405041124,Kadina,5671,5721,50,0.9,-2,44,8,394.1,14.5,,,,,,,,,,,,
4RSAU,Rest of SA,405,Barossa - Yorke - Mid North,40504,Yorke Peninsula,405041125,Moonta,5544,5709,165,3,-49,200,14,271.9,21,,,,,,,,,,,,
4RSAU,Rest of SA,405,Barossa - Yorke - Mid North,40504,Yorke Peninsula,405041126,Wallaroo,4745,4878,133,2.8,-32,158,7,146.5,33.3,,,,,,,,,,,,
