This tab has one table with the estimated resident population and components for Statistical Areas Level 2 in Tasmania for 2023-24. It ranges from cell A1 to Q108.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australian Bureau of Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 6. Estimated resident population and components, Statistical Areas Level 2, Tasmania",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Regional population, 2023-24",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,ERP at 30 June,,ERP change,,Components of population change 2023-24,,,,,,,,,,,,,,,,
,,,,,,,,2023,2024,2023-24,,Natural increase,Net internal migration,Net overseas migration,Area,Population density 2024,,,,,,,,,,,,
GCCSA code,GCCSA name,SA4 code,SA4 name,SA3 code,SA3 name,SA2 code,SA2 name,no.,no.,no.,%,no.,no.,no.,km2,persons/km2,,,,,,,,,,,,
6RTAS,Rest of Tas.,604,West and North West,60402,Devonport,604021089,Port Sorell,6808,6830,22,0.3,-25,27,20,363,18.8,,,,,,,,,,,,
6RTAS,Rest of Tas.,604,West and North West,60402,Devonport,604021090,Quoiba - Spreyton,3261,3281,20,0.6,23,-12,9,28.6,114.8,,,,,,,,,,,,
6RTAS,Rest of Tas.,604,West and North West,60402,Devonport,604021091,Sheffield - Railton,6843,6905,62,0.9,-17,55,24,1156.5,6,,,,,,,,,,,,
6RTAS,Rest of Tas.,604,West and North West,60402,Devonport,604021092,Turners Beach - Forth,3624,3671,47,1.3,12,24,11,84.4,43.5,,,,,,,,,,,,
6RTAS,Rest of Tas.,604,West and North West,60403,West Coast,604031093,King Island,1649,1660,11,0.7,12,-11,10,1095.7,1.5,,,,,,,,,,,,
6RTAS,Rest of Tas.,604,West and North West,60403,West Coast,604031094,North West,4406,4402,-4,-0.1,22,-49,23,4765.9,0.9,,,,,,,,,,,,
6RTAS,Rest of Tas.,604,West and North West,60403,West Coast,604031095,Smithton,3954,3913,-41,-1,-5,-55,19,91.3,42.9,,,,,,,,,,,,
6RTAS,Rest of Tas.,604,West and North West,60403,West Coast,604031096,Waratah,3951,3969,18,0.5,14,-1,5,3489.5,1.1,,,,,,,,,,,,
6RTAS,Rest of Tas.,604,West and North West,60403,West Coast,604031097,West Coast (Tas.),4361,4339,-22,-0.5,-9,-24,11,3931.6,1.1,,,,,,,,,,,,
6RTAS,Rest of Tas.,604,West and North West,60403,West Coast,604031098,Wilderness - West,0,0,0,0,0,0,0,5651.9,0,,,,,,,,,,,,
,,,,,,,Total Tasmania,573738,575496,1758,0.3,365,-2557,3950,68017.5,8.5,,,,,,,,,,,,
© Commonwealth of Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
